,Name,Address,lat,lng
80,Maha Bodhi School,Singapore Maha Bodhi School,1.3284131,103.9015463
81,Maris Stella High School,Singapore Maris Stella High School,1.3411414,103.8776654
82,Marsiling Primary School,Singapore Marsiling Primary School,1.4338104,103.7736593
83,Marymount Convent School,Singapore Marymount Convent School,1.3406106,103.8400154
84,Mayflower Primary School,Singapore Mayflower Primary School,1.3762361,103.8357776
85,Mee Toh School,Singapore Mee Toh School,1.3947729,103.9089333
86,Meridian Primary School,Singapore Meridian Primary School,1.376032,103.9350488
87,Methodist Girls' School (Primary),Singapore Methodist Girls' School (Primary),1.3329949,103.783453
88,Montfort Junior School,Singapore Montfort Junior School,1.3739459,103.8894782
89,Nan Chiau Primary School,Singapore Nan Chiau Primary School,1.3925508,103.8904013
90,Nan Hua Primary School,Singapore Nan Hua Primary School,1.3197989,103.7619428
91,Nanyang Primary School,Singapore Nanyang Primary School,1.3210838,103.807711
92,Ngee Ann Primary School,Singapore Ngee Ann Primary School,1.3056219,103.9180054
93,Naval Base Primary School,Singapore Naval Base Primary School,1.4160913,103.8389168
94,New Town Primary School,Singapore New Town Primary School,1.2999918,103.8000744
95,Northland Primary School,Singapore Northland Primary School,1.421155,103.840576
96,Northoaks Primary School,Singapore Northoaks Primary School,1.4569403,103.8137084
97,North Spring Primary School,Singapore North Spring Primary School,1.3872397,103.9036058
98,North View Primary School,Singapore North View Primary School,1.427616,103.848313
99,North Vista Primary School,Singapore North Vista Primary School,1.3829142,103.8958131
100,Oasis Primary School,Singapore Oasis Primary School,1.4047715,103.9109669
101,Opera Estate Primary School,Singapore Opera Estate Primary School,1.3193914,103.9235753
102,Palm View Primary School,Singapore Palm View Primary School,1.3841217,103.890795
103,Park View Primary School,Singapore Park View Primary School,1.3775806,103.9395361
104,Pasir Ris Primary School,Singapore Pasir Ris Primary School,1.372403,103.9629666
105,Paya Lebar Methodist Girls' School (Primary),Singapore Paya Lebar Methodist Girls' School (Primary),1.3504619,103.8852195
106,Pei Chun Public School,Singapore Pei Chun Public School,1.3371187,103.8558037
107,Pei Hwa Presbyterian Primary School,Singapore Pei Hwa Presbyterian Primary School,1.338081,103.77613
108,Pei Tong Primary School,Singapore Pei Tong Primary School,1.3161197,103.7675906
109,Peiying Primary School,Singapore Peiying Primary School,1.4175241,103.8302678
110,Pioneer Primary School,Singapore Pioneer Primary School,1.33837,103.688061
111,Poi Ching School,Singapore Poi Ching School,1.3579299,103.9356567
112,Princess Elizabeth Primary School,Singapore Princess Elizabeth Primary School,1.3494947,103.7410015
113,Punggol Cove Primary School,Singapore Punggol Cove Primary School,1.4116904,103.89861
114,Punggol Green Primary School,Singapore Punggol Green Primary School,1.4019222,103.8988272
115,Punggol Primary School,Singapore Punggol Primary School,1.3770245,103.8946292
116,Punggol View Primary School,Singapore Punggol View Primary School,1.4052725,103.905183
117,Qifa Primary School,Singapore Qifa Primary School,1.3128971,103.7569168
118,Qihua Primary School,Singapore Qihua Primary School,1.4421018,103.7884731
119,Queenstown Primary School,Singapore Queenstown Primary School,1.2962213,103.8079624
120,Radin Mas Primary School,Singapore Radin Mas Primary School,1.2750693,103.8238799
121,Raffles Girls' Primary School,Singapore Raffles Girls' Primary School,1.3299574,103.8062236
122,Red Swastika School,Singapore Red Swastika School,1.3331408,103.9341987
123,Riverside Primary School,Singapore Riverside Primary School,1.4468546,103.8015922
124,River Valley Primary School,Singapore River Valley Primary School,1.2938838,103.8363894
125,Rivervale Primary School,Singapore Rivervale Primary School,1.393196,103.904383
126,Rosyth School,Singapore Rosyth School,1.3729086,103.8746431
127,Rulang Primary School,Singapore Rulang Primary School,1.34694,103.71896
128,Sengkang Green Primary School,Singapore Sengkang Green Primary School,1.3928321,103.8754744
129,Sembawang Primary School,Singapore Sembawang Primary School,1.4454114,103.8209921
130,Si Ling Primary School,Singapore Si Ling Primary School,1.432693,103.78577
131,Seng Kang Primary School,Singapore Seng Kang Primary School,1.3895803,103.8996531
132,Shuqun Primary School,Singapore Shuqun Primary School,1.3475461,103.7215519
133,Singapore Chinese Girls’ School (Primary),Singapore Singapore Chinese Girls’ School (Primary),1.3202303,103.8296851
134,South View Primary School,Singapore South View Primary School,1.381324,103.7471451
135,Springdale Primary School,Singapore Springdale Primary School,1.3949667,103.8896801
136,Stamford Primary School,Singapore Stamford Primary School,1.3040142,103.8570451
137,St. Andrew's Junior School,Singapore St. Andrew's Junior School,1.3309872,103.8652758
138,St. Anthony's Canossian Primary School,Singapore St. Anthony's Canossian Primary School,1.3348478,103.9416621
139,St. Anthony's Primary School,Singapore St. Anthony's Primary School,1.3641887,103.748959
140,St. Gabriel's Primary School,Singapore St. Gabriel's Primary School,1.3496393,103.8623448
141,St. Hilda's Primary School,Singapore St. Hilda's Primary School,1.3496843,103.9361045
142,St. Joseph's Institution Junior,Singapore St. Joseph's Institution Junior,1.3173615,103.8454801
143,St. Margaret's Primary School,Singapore St. Margaret's Primary School,1.3250653,103.8816751
144,St. Stephen's School,Singapore St. Stephen's School,1.3188293,103.9175685
145,Tampines North Primary School,Singapore Tampines North Primary School,1.360298,103.948581
146,Tampines Primary School,Singapore Tampines Primary School,1.3497384,103.9442245
147,Tanjong Katong Primary School,Singapore Tanjong Katong Primary School,1.3053798,103.9003358
148,Tao Nan School,Singapore Tao Nan School,1.3049059,103.911434
149,Teck Ghee Primary School,Singapore Teck Ghee Primary School,1.3654149,103.8506386
150,Teck Whye Primary School,Singapore Teck Whye Primary School,1.3837636,103.7537174
151,Telok Kurau Primary School,Singapore Telok Kurau Primary School,1.3308237,103.911406
152,Temasek Primary School,Singapore Temasek Primary School,1.3175255,103.9455521
153,Townsville Primary School,Singapore Townsville Primary School,1.3601828,103.8541038
154,Unity Primary School,Singapore Unity Primary School,1.403245,103.74729
155,Valour Primary School,Singapore Valour Primary School,1.4065167,103.8995102
156,Waterway Primary School,Singapore Waterway Primary School,1.3990541,103.9184708
157,Wellington Primary School,Singapore Wellington Primary School,1.4521597,103.8224459
158,West Grove Primary School,Singapore West Grove Primary School,1.3445459,103.6989872
159,West Spring Primary School,Singapore West Spring Primary School,1.3896611,103.7665176
160,Westwood Primary School,Singapore Westwood Primary School,1.3472361,103.7004708
161,West View Primary School,Singapore West View Primary School,1.3837275,103.7601419
162,Woodgrove Primary School,Singapore Woodgrove Primary School,1.4334662,103.7905304
163,Woodlands Primary School,Singapore Woodlands Primary School,1.436771,103.791794
164,Woodlands Ring Primary School,Singapore Woodlands Ring Primary School,1.4345519,103.7978994
165,Xinghua Primary School,Singapore Xinghua Primary School,1.357958,103.8901418
166,Xingnan Primary School,Singapore Xingnan Primary School,1.3425489,103.6870917
