lat,lng
1.366724083,103.7097359
1.36749634,103.7119675
1.368182789,103.7150574
1.368697627,103.7179756
1.369641495,103.7198639
1.37041375,103.722353
1.372044066,103.7247562
1.373502769,103.726387
1.375304695,103.7285328
1.377535649,103.7311077
1.378736931,103.7328243
1.380109824,103.7346268
1.381740134,103.7363434
1.383370442,103.7377167
1.384571721,103.7393475
1.385858805,103.7409782
1.387660722,103.742609
1.388347166,103.744154
1.389548442,103.7463856
1.389805859,103.747673
1.389805859,103.7490463
1.389720053,103.7508488
1.38920522,103.7526512
1.388947804,103.7544537
1.388690388,103.7562561
1.388604582,103.7580585
1.38920522,103.7602043
1.389891664,103.7625217
1.390578107,103.7644958
1.390749718,103.7662983
1.390749718,103.7680149
1.390663913,103.7698174
1.390406497,103.7721348
1.390406497,103.7737656
