lat,lng
1.273536707,103.8498974
1.273879945,103.8513565
1.272850231,103.8528156
1.271906326,103.8546181
1.270533373,103.8565063
1.270275944,103.8589954
1.271906326,103.861742
1.273365088,103.8644886
1.27456642,103.8657761
1.275853562,103.8677502
1.277054893,103.869381
1.278256224,103.8711834
1.279629173,103.8728142
1.28108793,103.8750458
1.282117641,103.8762474
1.283490588,103.8777065
1.284863534,103.8783932
1.286493906,103.878479
1.287609424,103.877449
1.28881075,103.8765049
1.29044112,103.8758183
1.29198568,103.8754749
1.293873474,103.8756466
1.295332224,103.8764191
1.297134207,103.8768482
