lat,lng
1.422926524,103.7732506
1.424385195,103.7747955
1.425843866,103.7780571
1.426444494,103.7808037
1.426444494,103.7832069
1.426272886,103.786726
1.425500649,103.7886143
1.424470999,103.7915325
1.423098132,103.7947083
1.421210439,103.7971115
1.420266591,103.7986565
1.419065331,103.8006306
1.416748612,103.8032055
1.414603499,103.8055229
1.412286776,103.8067245
1.409197808,103.808012
1.407138493,103.8089561
1.405336592,103.8099861
1.403534689,103.8114452
1.400617319,103.8127327
1.398901218,103.8136768
1.395640621,103.8153934
1.397356725,103.8141918
1.394868374,103.8171101
1.394353542,103.8189125
1.393752905,103.8214874
1.393066463,103.8241482
1.392894852,103.8259506
1.392980658,103.8279247
1.393152268,103.8298988
1.394010321,103.8329029
1.394353542,103.8353062
1.394954179,103.8372803
1.395726426,103.839426
1.396069647,103.8414001
1.396584478,103.8438034
1.396670284,103.8464642
1.396327063,103.8491249
1.396327063,103.8507557
1.396756089,103.8519573
1.397699946,103.8541031
1.397356725,103.8559914
1.3952974,103.8578796
1.393323879,103.8580513
