lat,lng
1.336691702,103.9795017
1.333602636,103.9783001
1.330427759,103.975811
1.327853531,103.9740086
1.325622532,103.9724636
1.322876683,103.9706612
1.320045024,103.9683437
1.318328865,103.9660263
1.316612705,103.9613914
1.314982352,103.958559
1.313351998,103.9540958
1.3123223,103.9518642
1.311893259,103.949976
1.312064875,103.9459419
1.311550026,103.943367
1.310434519,103.9396763
1.309662245,103.937273
1.308718354,103.9335823
1.307602846,103.9294624
1.305972487,103.926115
1.304599552,103.9217377
1.303913084,103.9183044
1.302797574,103.9146996
1.301510446,103.9105797
1.300566552,103.9068031
1.299279423,103.9033699
1.297820676,103.9001083
1.296962589,103.8971043
1.295675459,103.8934994
1.295761267,103.8894653
1.295761267,103.8862896
1.295761267,103.8815689
1.295675459,103.8793373
1.295503841,103.8765049
1.295160606,103.8735867
1.295160606,103.8697243
1.294474136,103.8671494
1.293701857,103.8644886
1.293358621,103.8621712
1.291385018,103.8616562
1.288295896,103.8615704
1.28615067,103.8615704
