lat,lng
1.277398131,103.8260365
1.277655559,103.8278389
1.279028508,103.8290405
1.280916312,103.8306713
1.28220345,103.8329029
1.282975733,103.8357353
1.284348679,103.8371086
1.286322288,103.8383961
1.287609424,103.8407135
1.290097884,103.8425159
1.292929577,103.8438892
1.295160606,103.8444042
1.297820676,103.8434601
1.300394935,103.8437176
1.301682063,103.8426018
1.303398234,103.840971
1.304771169,103.840456
1.306744762,103.8405418
1.309061587,103.8426018
1.310520327,103.8442326
1.312837149,103.8452625
1.315153968,103.8459492
1.316955937,103.8479233
1.318414673,103.8512707
1.319701792,103.8542747
1.321675373,103.8565063
1.324678646,103.8587379
1.326652224,103.8611412
1.3286258,103.862257
1.331714872,103.8625145
1.336520088,103.862257
1.333688444,103.8625145
1.338751077,103.8619137
1.341325294,103.8613129
1.343384665,103.8605404
1.345358227,103.8597679
1.347417595,103.8590813
1.349562768,103.858223
1.351536326,103.8576221
1.354110529,103.8568497
1.356856342,103.8569355
1.359516346,103.8579655
1.362176347,103.8589096
1.364149894,103.8595104
1.366123439,103.8601971
1.368955045,103.8607979
1.371443424,103.8605404
1.372987933,103.8596821
1.375390501,103.8587379
1.377535649,103.8583946
1.380710465,103.8583088
1.382941413,103.8583088
1.38517236,103.8586521
1.386802666,103.8583946
1.389548442,103.8580513
1.391779383,103.8579655
1.394353542,103.8575363
1.396069647,103.8570213
1.39727092,103.8559914
