lat,lng
1.399759268,103.856678
1.400531514,103.8583088
1.400960539,103.8614845
1.400788929,103.8651752
1.400960539,103.8676643
1.401046344,103.8704967
1.401046344,103.8741016
1.401132149,103.8795948
1.401132149,103.8761616
1.401303759,103.8822556
1.401303759,103.8850021
1.401132149,103.8870621
1.400874734,103.8898087
1.400274099,103.8933277
1.399759268,103.8966751
1.398987023,103.8995934
1.398043166,103.9019966
1.396756089,103.9037991
1.39512579,103.906374
1.393323879,103.9080906
1.391521967,103.9095497
1.389634248,103.910923
1.388089749,103.912468
1.38654525,103.9138412
1.384657527,103.9151287
1.383627859,103.916502
1.382254968,103.9177895
1.380710465,103.9189911
1.379680795,103.9202785
1.378908543,103.9225101
1.378222096,103.9252567
1.377878873,103.9274025
1.376505978,103.9303207
1.375647919,103.9325523
1.374189217,103.9351273
1.373245351,103.9371872
1.372044066,103.9390755
1.370327944,103.9413929
1.368697627,103.943882
1.367582146,103.9453411
1.366895696,103.9472294
1.366466664,103.9496326
1.365951827,103.9522934
1.365265376,103.9548683
1.364407313,103.9563274
1.363463443,103.9580441
1.361404089,103.9604473
1.359430539,103.9617348
1.357371182,103.9630222
1.354882789,103.9637089
1.352995041,103.9643097
1.351364712,103.9645672
1.350249223,103.9649105
1.348876313,103.9655972
